C1;C2;C3;,183.661916,96.597222,0,16,33,0,23200,37497.5,24825, ,486622, ,6,2,1.1,
C1;C2;C5;,183.661916,94.513889,0,13,66,0,20200,77135,39975, ,476017, ,6,2,2.2,
C5;C6;C7;,183.661916,96.111111,0,18,37,0,53800,47605,28225, ,484242, ,6,2,1.25,
C8;C9;C10;,183.661916,95.486111,0,13,51,1,29500,96975,32575, ,481197, ,6,2,1.65,
C9;C10;C11;,183.661916,94.027778,0,14,70,2,33400,116970,43475, ,473567, ,6,2,2.3,
C13;C14;C15;,183.661916,95.347222,0,15,51,1,29700,46055,33700, ,480410, ,6,2,1.7,
C17;C18;C19;,183.661916,94.583333,0,17,54,6,47300,100255,39350, ,476455, ,6,2,1.9,
C9;C17;C21;,183.661916,95.138889,0,16,51,3,31200,60835,35425, ,479202, ,6,2,1.7,
C1;C2;C3;,45.491761,96.805556,0,14,32,0,25000,34590,23050,82640,487865, ,6,2,1,82640
C1;C2;C5;,45.491761,93.75,0,37,53,0,49800,61880,45450,157130,472185, ,6,5,1.8,
C5;C6;C7;,45.491761,95.972222,0,14,44,0,39400,55930,29000,124330,483700, ,6,2,1.5,
C8;C9;C10;,45.491761,95.555556,0,12,52,0,26200,109680,32400,168280,481320, ,6,2,1.8,
C9;C10;C11;,45.491761,94.791667,0,35,38,1,58700,71750,37700,168150,477610, ,6,5,1.3,
C13;C14;C15;,45.491761,93.263889,0,29,62,6,41300,51030,48850,141180,469805, ,6,4,2,
C17;C18;C19;,45.491761,94.583333,0,36,33,8,75200,62190,39150,176540,476595, ,6,5,1.1,
C9;C17;C21;,45.491761,92.638889,0,14,91,0,35000,101340,53150,189490,466795, ,6,2,3.1,
C1;C2;C3;,41.660337,93.958333,0,57,27,2,69800.000000,31270.000000,43500, ,473550, ,6.000000,8.000000,0.900000
C1;C2;C5;,41.660337,93.194444,0,59,35,3,76100.000000,38350.000000,49250, ,469525, ,6.000000,8.000000,1.200000
C5;C6;C7;,41.660337,94.652778,0,38,39,0,74800.000000,51510.000000,38900, ,476770, ,6.000000,5.000000,1.300000
C8;C9;C10;,41.660337,93.472222,0,66,23,5,109800.000000,43750.000000,47450, ,470785, ,6.000000,9.000000,0.800000
C9;C10;C11;,41.660337,91.875000,0,106,5,5,166600.000000,9620.000000,58550, ,463015, ,6.000000,14.000000,0.100000
C13;C14;C15;,41.660337,94.027778,0,61,24,0,67400.000000,18450.000000,43350, ,473655, ,6.000000,9.000000,0.800000
C17;C18;C19;,41.660337,91.875000,0,80,34,3,155600.000000,61400.000000,58750, ,462875, ,6.000000,10.000000,1.100000
C9;C17;C21;,41.660337,93.263889,0,80,14,3,112400.000000,17470.000000,48750, ,469875, ,6.000000,10.000000,0.500000
C1;C2;C3;,58.518450,94.444444,0,33,40,7,45900.000000,40455.000000,40300, ,475790, ,6.000000,4.000000,1.300000
C1;C2;C5;,58.518450,93.472222,0,30,54,9,50200.000000,62240.000000,47150, ,470995, ,6.000000,4.000000,1.900000
C5;C6;C7;,58.518450,95.486111,0,23,42,0,57300.000000,55850.000000,32750, ,481075, ,6.000000,3.000000,1.400000
C8;C9;C10;,58.518450,94.444444,0,44,23,13,85400.000000,41840.000000,40200, ,475860, ,6.000000,6.000000,0.700000
C9;C10;C11;,58.518450,93.541667,0,30,49,14,52600.000000,86050.000000,46900, ,471170, ,6.000000,4.000000,1.700000
C13;C14;C15;,58.518450,95.625000,0,40,14,8,50400.000000,13170.000000,31700, ,481810, ,6.000000,5.000000,0.500000
C17;C18;C19;,58.518450,93.750000,0,36,38,16,82400.000000,64240.000000,45400, ,472220, ,6.000000,5.000000,1.300000
C9;C17;C21;,58.518450,93.055556,0,25,67,8,47300.000000,73350.000000,50450, ,468685, ,6.000000,3.000000,2.200000
C1;C2;C3;,57.024845,96.666667,0,13,35,0,24200.000000,38820.000000,24300, ,486990, ,6.000000,2.000000,1.200000
C1;C2;C5;,57.024845,92.569444,0,15,91,1,26400.000000,105390.000000,53900, ,466270, ,6.000000,2.000000,3.200000
C5;C6;C7;,57.024845,94.375000,0,13,58,10,37300.000000,69990.000000,40750, ,475475, ,6.000000,2.000000,1.900000
C8;C9;C10;,57.024845,92.986111,0,14,83,4,28800.000000,165600.000000,50850, ,468405, ,6.000000,2.000000,2.800000
C9;C10;C11;,57.024845,93.611111,0,15,65,11,27500.000000,117470.000000,46150, ,471695, ,6.000000,2.000000,2.300000
C13;C14;C15;,57.024845,93.333333,0,15,77,3,28300.000000,74650.000000,48350, ,470155, ,6.000000,2.000000,2.700000
C17;C18;C19;,57.024845,92.222222,0,14,74,24,39800.000000,128840.000000,56400, ,464520, ,6.000000,2.000000,2.500000
C9;C17;C21;,57.024845,93.958333,0,14,62,11,34800.000000,71080.000000,43600, ,473480, ,6.000000,2.000000,2.000000
C1;C2;C3;,56.996499,95.347222,0,7,56,4,19700.000000,57650.000000,33800, ,480340, ,6.000000,1.000000,1.800000
C1;C2;C5;,56.996499,95.625000,0,14,47,2,21000.000000,53440.000000,31600, ,481880, ,6.000000,2.000000,1.700000
C5;C6;C7;,56.996499,93.958333,0,8,58,21,26800.000000,76370.000000,43650, ,473445, ,6.000000,1.000000,1.900000
C8;C9;C10;,56.996499,92.152778,0,7,92,14,23100.000000,162720.000000,56550, ,464415, ,6.000000,1.000000,3.100000
C9;C10;C11;,56.996499,92.569444,0,9,79,19,22900.000000,145080.000000,53550, ,466515, ,6.000000,1.000000,2.700000
C13;C14;C15;,56.996499,94.166667,0,17,61,6,30700.000000,61170.000000,42200, ,474460, ,6.000000,2.000000,2.000000
C17;C18;C19;,56.996499,95.069444,0,17,40,14,46500.000000,66900.000000,35600, ,479080, ,6.000000,2.000000,1.300000
C9;C17;C21;,56.996499,91.875000,0,9,99,8,29700.000000,112580.000000,58550, ,463015, ,6.000000,1.000000,3.300000
C1;C2;C3;,80.395220,95.902778,0,14,44,0,21000.000000,45985.000000,29683, ,483221, ,6.000000,2.000000,1.466667
C1;C2;C5;,80.395220,94.652778,0,16,60,0,22900.000000,70940.000000,38500, ,477050, ,6.000000,2.000000,1.966667
C5;C6;C7;,80.395220,95.763889,0,15,44,1,47500.000000,57730.000000,30850, ,482405, ,6.000000,2.000000,1.500000
C8;C9;C10;,80.395220,94.305556,0,16,66,0,33000.000000,124426.666667,41283, ,475101, ,6.000000,2.000000,2.166667
C9;C10;C11;,80.395220,95.069444,0,17,52,1,39700.000000,93863.333333,35750, ,478975, ,6.000000,2.000000,1.733333
C13;C14;C15;,80.395220,95.763889,0,17,44,0,31300.000000,44150.000000,30716, ,482498, ,6.000000,2.000000,1.366667
C17;C18;C19;,80.395220,94.375000,0,15,64,1,43100.000000,107256.666667,40566, ,475603, ,6.000000,2.000000,2.133333
C9;C17;C21;,80.395220,93.472222,0,15,79,0,30100.000000,89630.000000,47400, ,470820, ,6.000000,2.000000,2.533333
C1;C2;C3;,185.765736,95.833333,0,16,42,1,27200.000000,45441.333333,30191, ,482865, ,6.000000,2.000000,1.420000
C1;C2;C5;,185.765736,94.791667,0,14,59,2,25300.000000,68777.000000,37763, ,477565, ,6.000000,2.000000,1.956667
C5;C6;C7;,185.765736,95.277778,0,14,43,10,39400.000000,58409.333333,34071, ,480149, ,6.000000,2.000000,1.463333
C8;C9;C10;,185.765736,93.958333,0,18,63,6,33800.000000,120081.000000,43988, ,473208, ,6.000000,2.000000,2.113333
C9;C10;C11;,185.765736,94.513889,0,15,52,11,28500.000000,89324.666667,39643, ,476249, ,6.000000,2.000000,1.736667
C13;C14;C15;,185.765736,95.000000,0,13,52,6,26700.000000,49543.666667,36218, ,478647, ,6.000000,2.000000,1.770000
C17;C18;C19;,185.765736,93.680556,0,13,61,17,37700.000000,103565.333333,45995, ,471803, ,6.000000,2.000000,2.036667
C9;C17;C21;,185.765736,92.986111,0,15,80,6,36100.000000,90661.000000,50826, ,468421, ,5.996667,2.000000,2.656667
C1;C2;C3;,66.318011,95.069444,0,30,35,5,38600.000000,37797.500000,35600, ,479080, ,6.000000,4.000000,1.200000
C1;C2;C5;,66.318011,95.277778,0,28,33,6,41900.000000,35815.000000,34050, ,480165, ,6.000000,4.000000,1.050000
C5;C6;C7;,66.318011,94.930556,0,30,42,1,71000.000000,57120.000000,36675, ,478327, ,6.000000,4.000000,1.450000
C8;C9;C10;,66.318011,93.263889,0,34,50,13,63600.000000,94215.000000,48850, ,469805, ,6.000000,4.000000,1.600000
C9;C10;C11;,66.318011,94.305556,0,28,39,14,51400.000000,72805.000000,41050, ,475265, ,6.000000,4.000000,1.400000
C13;C14;C15;,66.318011,95.625000,0,34,25,3,47300.000000,23370.000000,31725, ,481792, ,6.000000,4.000000,0.900000
C17;C18;C19;,66.318011,94.722222,0,27,41,7,62700.000000,72105.000000,38000, ,477400, ,6.000000,4.000000,1.350000
C9;C17;C21;,66.318011,93.333333,0,30,60,6,46400.000000,74580.000000,48400, ,470120, ,6.000000,4.000000,2.000000
